User_Id,File_Name,Search_Term,Date_Time
Guest,Data/Modified/Physical_Journals.csv,IEEE Transactions on Biometrics, Behavior, and Identity Science,19/9/2023 22:38:50
Guest,Data/Modified/Physical_Journals.csv,Behavior,,19/9/2023 22:39:12
FAC12345,Data/Modified/Physical_Magazines.csv,The Daily Beast,20/9/2023 1:29:26
FAC12345,Data/Modified/Uni1_Items_Record.csv,UNI10003,20/9/2023 14:7:21
Guest,Data/Modified/Physical_Magazines.csv,Times,20/9/2023 15:42:37
EMP12345,Data/Modified/Physical_Magazines.csv,2,20/9/2023 15:51:6
